2013-05-08,2013-05-08,0
2013-05-08,2013-05-09,1
2013-05-08,2013-05-10,2
2013-05-08,2013-05-11,2
2013-05-08,2013-05-12,2
2013-05-08,2013-05-13,3
2013-05-08,2013-05-14,4
2013-05-08,2013-05-15,5
2013-05-08,2013-05-16,6
2013-05-08,2013-05-17,7
2013-05-08,2013-05-18,7
2013-05-08,2013-05-19,7
2013-05-08,2013-05-20,8
2013-05-08,2013-05-21,9
2013-05-08,2013-05-22,10
2013-05-08,2013-05-23,11
2013-05-08,2013-05-24,12
2013-05-08,2013-05-25,12
2013-05-08,2013-05-26,12
2013-05-08,2013-05-27,13
2013-05-08,2013-05-28,14
2013-05-08,2013-05-29,15
2013-05-08,2013-05-30,16
2013-05-08,2013-05-31,17
2013-05-08,2013-06-01,17
2013-05-08,2013-06-02,17
2013-05-08,2013-06-03,18
2013-05-08,2013-06-04,19
2013-05-08,2013-06-05,20
2013-05-08,2013-06-06,21
2013-05-08,2013-06-07,22
