2013-05-14,2013-05-14,0
2013-05-14,2013-05-15,1
2013-05-14,2013-05-16,2
2013-05-14,2013-05-17,3
2013-05-14,2013-05-18,3
2013-05-14,2013-05-19,3
2013-05-14,2013-05-20,4
2013-05-14,2013-05-21,5
2013-05-14,2013-05-22,6
2013-05-14,2013-05-23,7
2013-05-14,2013-05-24,8
2013-05-14,2013-05-25,8
2013-05-14,2013-05-26,8
2013-05-14,2013-05-27,9
2013-05-14,2013-05-28,10
2013-05-14,2013-05-29,11
2013-05-14,2013-05-30,12
2013-05-14,2013-05-31,13
2013-05-14,2013-06-01,13
2013-05-14,2013-06-02,13
2013-05-14,2013-06-03,14
2013-05-14,2013-06-04,15
2013-05-14,2013-06-05,16
2013-05-14,2013-06-06,17
2013-05-14,2013-06-07,18
2013-05-14,2013-06-08,18
2013-05-14,2013-06-09,18
2013-05-14,2013-06-10,19
2013-05-14,2013-06-11,20
2013-05-14,2013-06-12,21
2013-05-14,2013-06-13,22
