2013-05-09,2013-05-09,0
2013-05-09,2013-05-10,1
2013-05-09,2013-05-11,1
2013-05-09,2013-05-12,1
2013-05-09,2013-05-13,2
2013-05-09,2013-05-14,3
2013-05-09,2013-05-15,4
2013-05-09,2013-05-16,5
2013-05-09,2013-05-17,6
2013-05-09,2013-05-18,6
2013-05-09,2013-05-19,6
2013-05-09,2013-05-20,7
2013-05-09,2013-05-21,8
2013-05-09,2013-05-22,9
2013-05-09,2013-05-23,10
2013-05-09,2013-05-24,11
2013-05-09,2013-05-25,11
2013-05-09,2013-05-26,11
2013-05-09,2013-05-27,12
2013-05-09,2013-05-28,13
2013-05-09,2013-05-29,14
2013-05-09,2013-05-30,15
2013-05-09,2013-05-31,16
2013-05-09,2013-06-01,16
2013-05-09,2013-06-02,16
2013-05-09,2013-06-03,17
2013-05-09,2013-06-04,18
2013-05-09,2013-06-05,19
2013-05-09,2013-06-06,20
2013-05-09,2013-06-07,21
2013-05-09,2013-06-08,21
