2013-05-10,2013-05-10,0
2013-05-10,2013-05-11,0
2013-05-10,2013-05-12,0
2013-05-10,2013-05-13,1
2013-05-10,2013-05-14,2
2013-05-10,2013-05-15,3
2013-05-10,2013-05-16,4
2013-05-10,2013-05-17,5
2013-05-10,2013-05-18,5
2013-05-10,2013-05-19,5
2013-05-10,2013-05-20,6
2013-05-10,2013-05-21,7
2013-05-10,2013-05-22,8
2013-05-10,2013-05-23,9
2013-05-10,2013-05-24,10
2013-05-10,2013-05-25,10
2013-05-10,2013-05-26,10
2013-05-10,2013-05-27,11
2013-05-10,2013-05-28,12
2013-05-10,2013-05-29,13
2013-05-10,2013-05-30,14
2013-05-10,2013-05-31,15
2013-05-10,2013-06-01,15
2013-05-10,2013-06-02,15
2013-05-10,2013-06-03,16
2013-05-10,2013-06-04,17
2013-05-10,2013-06-05,18
2013-05-10,2013-06-06,19
2013-05-10,2013-06-07,20
2013-05-10,2013-06-08,20
2013-05-10,2013-06-09,20
